"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"167","SeuratProject",0.131356795943661,31,"Pyra","VIS_Pyra"
"168","SeuratProject",-0.513244484801189,30,"Pyra","VIS_Pyra"
"169","SeuratProject",-0.338360968738052,34,"Pyra","VIS_Pyra"
"170","SeuratProject",-0.540859491950482,34,"Pyra","VIS_Pyra"
"171","SeuratProject",-0.671426349598871,30,"Pyra","VIS_Pyra"
"172","SeuratProject",-0.645554262005801,29,"Pyra","VIS_Pyra"
"173","SeuratProject",-0.438147139856625,32,"Pyra","VIS_Pyra"
"174","SeuratProject",-0.560849322152848,29,"Pyra","VIS_Pyra"
"175","SeuratProject",0.434960979633345,38,"Axo_","HIP_Axo_"
"176","SeuratProject",0.723406405938863,34,"Axo_","HIP_Axo_"
"177","SeuratProject",0.601298497952142,38,"Axo_","HIP_Axo_"
"178","SeuratProject",-0.00901422057646664,34,"Axo_","HIP_Axo_"
"179","SeuratProject",0.423253866393861,37,"Axo_","HIP_Axo_"
"180","SeuratProject",0.212952086724884,36,"Axo_","HIP_Axo_"
"181","SeuratProject",0.88407728027284,33,"Axo_","HIP_Axo_"
"182","SeuratProject",0.743928382501748,34,"Axo_","HIP_Axo_"
"183","SeuratProject",0.520978936584774,34,"Axo_","HIP_Axo_"
"184","SeuratProject",0.64775414490449,33,"Axo_","HIP_Axo_"
"185","SeuratProject",0.337775256937615,38,"Axo_","HIP_Axo_"
"186","SeuratProject",0.638134929508516,32,"Axo_","HIP_Axo_"
"187","SeuratProject",0.584433167424091,35,"Axo_","HIP_Axo_"
"188","SeuratProject",0.70111144618048,36,"Axo_","HIP_Axo_"
"189","SeuratProject",-0.0339173647626071,35,"Axo_","HIP_Axo_"
"190","SeuratProject",0.486899616658564,37,"Axo_","HIP_Axo_"
"191","SeuratProject",0.559607584385545,39,"Axo_","HIP_Axo_"
"192","SeuratProject",0.214763100385433,37,"Axo_","HIP_Axo_"
"193","SeuratProject",0.0872923526418217,36,"Axo_","HIP_Axo_"
"194","SeuratProject",0.294265327719475,38,"Axo_","HIP_Axo_"
"195","SeuratProject",0.506940114718245,37,"Axo_","HIP_Axo_"
"196","SeuratProject",-0.0883689128711986,30,"Axo_","HIP_Axo_"
"197","SeuratProject",0.0432853440360683,36,"Axo_","HIP_Axo_"
"198","SeuratProject",0.645016259447673,35,"Axo_","HIP_Axo_"
"199","SeuratProject",0.45637056160786,36,"Axo_","HIP_Axo_"
"200","SeuratProject",0.0638814434661258,29,"Axo_","HIP_Axo_"
"201","SeuratProject",0.43312231133569,38,"Axo_","HIP_Axo_"
"202","SeuratProject",0.406392076830471,38,"Axo_","HIP_Axo_"
"203","SeuratProject",0.519998503417435,37,"Axo_","HIP_Axo_"
"204","SeuratProject",0.380601247887343,38,"Axo_","HIP_Axo_"
"205","SeuratProject",0.317105026581121,38,"Axo_","HIP_Axo_"
"206","SeuratProject",0.519174752543689,37,"Axo_","HIP_Axo_"
"207","SeuratProject",0.0883871144657644,36,"Axo_","HIP_Axo_"
"208","SeuratProject",0.569746505713293,34,"Axo_","HIP_Axo_"
"209","SeuratProject",0.354334041761215,37,"Axo_","HIP_Axo_"
"210","SeuratProject",2.34507936630389,33,"SST","VIS_SST"
"211","SeuratProject",2.09523989596679,35,"SST","VIS_SST"
"212","SeuratProject",2.10574607692516,35,"SST","VIS_SST"
